INSERT INTO `customer` (`first_name`, `last_name`, `email`, `date_of_birth`, `street`, `city`, `state`, `zip_code`, `insurance_id`) VALUES ('Clyde','Adams','clyde.adams@example.com','1961-03-21','3003 Westheimer Rd','San Jose','California','95126','KIX4MFB13D');
INSERT INTO `customer` (`first_name`, `last_name`, `email`, `date_of_birth`, `street`, `city`, `state`, `zip_code`, `insurance_id`) VALUES ('Dale','Day','dale.day@example.com','1976-01-01','2268 Woodland St','Campbell','California','95011','NQ13BPY8DX');
INSERT INTO `customer` (`first_name`, `last_name`, `email`, `date_of_birth`, `street`, `city`, `state`, `zip_code`, `insurance_id`) VALUES ('Wanda','Thompson','wanda.thompson@example.com','1957-10-02','6783 Prospect Rd','Santa Clara','California','95053','YIBFQZYN3B');
INSERT INTO `customer` (`first_name`, `last_name`, `email`, `date_of_birth`, `street`, `city`, `state`, `zip_code`, `insurance_id`) VALUES ('Teresa','Arnold','teresa.arnold@example.com','1952-04-20','9573 W 6th St','Campbell','California','95011','3O4AKR11VJ');
INSERT INTO `customer` (`first_name`, `last_name`, `email`, `date_of_birth`, `street`, `city`, `state`, `zip_code`, `insurance_id`) VALUES ('Roberto','Austin','roberto.austin@example.com','1947-01-07','587 Parker Rd','San Jose','California','95102','XH5GSRBON5');
INSERT INTO `customer` (`first_name`, `last_name`, `email`, `date_of_birth`, `street`, `city`, `state`, `zip_code`, `insurance_id`) VALUES ('Kay','Freeman','kay.freeman@example.com','1964-06-23','3237 Woodland St','Los Gatos','California','95031','6VXGNH64RL');
INSERT INTO `customer` (`first_name`, `last_name`, `email`, `date_of_birth`, `street`, `city`, `state`, `zip_code`, `insurance_id`) VALUES ('Esther','Harrison','esther.harrison@example.com','1996-06-18','5415 Camden Ave','Cupertino','California','95015','GL284I2J2K');
INSERT INTO `customer` (`first_name`, `last_name`, `email`, `date_of_birth`, `street`, `city`, `state`, `zip_code`, `insurance_id`) VALUES ('Same','Peterson','same.peterson@example.com','1996-10-27','7465 W 6th St','San Jose','California','95152','0LPO4UBN4X');
INSERT INTO `customer` (`first_name`, `last_name`, `email`, `date_of_birth`, `street`, `city`, `state`, `zip_code`, `insurance_id`) VALUES ('Maxine','Mendoza','maxine.mendoza@example.com','1984-12-02','4690 Country Club Rd','San Jose','California','95145','OZSPXRFVIZ');
INSERT INTO `customer` (`first_name`, `last_name`, `email`, `date_of_birth`, `street`, `city`, `state`, `zip_code`, `insurance_id`) VALUES ('Jeffrey','Murphy','jeffrey.murphy@example.com','1974-06-19','7959 Spring Hill Rd','Los Gatos','California','95030','Y53I2E4NN4');
INSERT INTO `customer` (`first_name`, `last_name`, `email`, `date_of_birth`, `street`, `city`, `state`, `zip_code`, `insurance_id`) VALUES ('Clyde','Weaver','clyde.weaver@example.com','1964-11-18','2498 Daisy Dr','Los Gatos','California','95031','AYW3F3R4DM');
INSERT INTO `customer` (`first_name`, `last_name`, `email`, `date_of_birth`, `street`, `city`, `state`, `zip_code`, `insurance_id`) VALUES ('Zoey','Terry','zoey.terry@example.com','1959-02-01','2228 Marsh Ln','Campbell','California','95009','A0N9K78TAP');
INSERT INTO `customer` (`first_name`, `last_name`, `email`, `date_of_birth`, `street`, `city`, `state`, `zip_code`, `insurance_id`) VALUES ('Gina','Carpenter','gina.carpenter@example.com','1956-03-14','8503 Oak Lawn Ave','Cupertino','California','95014','P9M34W2E3R');
INSERT INTO `customer` (`first_name`, `last_name`, `email`, `date_of_birth`, `street`, `city`, `state`, `zip_code`, `insurance_id`) VALUES ('Tom','Kennedy','tom.kennedy@example.com','1945-10-07','7361 W Gray St','Sunnyvale','California','94085','WWHGDSZ9PY');
